"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Leader_return","Follower_return","No_Ldr_Return"
12,12,0.4,0.1,0,5,100,0.376917398427505,8.95916624094407,0.23777815732887,18.6918332481888,18.0615046397576,17
15,12,0.4,0.1,0,5,100,0.5332068622747,18.5630137855726,0.296308639368041,22.5667777543124,20,20
0,15,0.4,0.1,0,5,100,0.628473453414125,0,0.540218680060389,13.0032802009058,13.1032802009058,5
1,15,0.4,0.1,0,5,100,0.472894995649557,0,0.52756536236114,13.285915073056,13.9134804354171,6
3,15,0.4,0.1,0,5,100,0.340545843977831,0,0.525666193872749,14.207994326473,15.8849929080912,8
7,15,0.4,0.1,0,5,100,0.18477143624601,0,0.530448123029811,16.1435849842385,19.9567218454472,12
12,15,0.4,0.1,0,5,100,0.0478971024024083,0,0.562087381418663,18.586262144256,25.43131072128,17
15,15,0.4,0.1,0,5,100,0.365434504516354,10.7500386829437,0.233025503617353,22.0500077365887,21.3453748176716,20
0,1,0.9,0.1,0,5,100,0.309790506124229,0,0.630961411086517,5.53096141108652,5.63096141108652,5
1,1,0.9,0.1,0,5,100,0.97029702970297,29.9999316946112,0.515,7.7025,6,6
3,1,0.9,0.1,0,5,100,0,0,0,7.9,8,8
7,1,0.9,0.1,0,5,100,0,0,0,11.9,12,12
12,1,0.9,0.1,0,5,100,0,0,0,16.9,17,17
15,1,0.9,0.1,0,5,100,0,0,0,19.9,20,20
0,3,0.9,0.1,0,5,100,0.463937848719771,0,0.576832874381967,6.6304986231459,6.7304986231459,5
1,3,0.9,0.1,0,5,100,0.206146605885829,0,0.576485809132454,7.05297161826491,7.72945742739736,6
3,3,0.9,0.1,0,5,100,0,0,0,7.9,8,8
7,3,0.9,0.1,0,5,100,0,0,0,11.9,12,12
12,3,0.9,0.1,0,5,100,0.658047893274179,9.78713763747792,0.397350201211251,17.4960253018169,17,17
15,3,0.9,0.1,0,5,100,0,0,0,19.9,20,20
0,7,0.9,0.1,0,5,100,0.558741363135952,0,0.553661751738826,8.77563226217178,8.87563226217178,5
1,7,0.9,0.1,0,5,100,0.36367568339267,0,0.541344634464546,9.14806780678728,9.78941244125182,6
3,7,0.9,0.1,0,5,100,0.188960943196685,0,0.547929796031862,10.0917191841274,11.835508572223,8
7,7,0.9,0.1,0,5,100,0.969513749818955,7.50001756848837,0.494878802579129,17.1500122979419,13.9641481043562,12
12,7,0.9,0.1,0,5,100,0.896303202734677,11.4444569307923,0.459833928627538,22.6119502084169,17.9299461142343,17
15,7,0.9,0.1,0,5,100,0.719456459089516,11.4444550629329,0.371719774126843,24.9373603510383,20.3131474063013,20
0,12,0.9,0.1,0,5,100,0.609243230551749,0,0.543780377579955,11.4253645309595,11.5253645309595,5
1,12,0.9,0.1,0,5,100,0.443315116453875,0,0.531010968866051,11.7411206575266,12.3721316263926,6
3,12,0.9,0.1,0,5,100,0.300536339403226,0,0.529907586912352,12.6691682822112,14.3588910429482,8
7,12,0.9,0.1,0,5,100,0.129592873421191,0,0.541358516138588,14.6067925806929,18.4963021936631,12
12,12,0.9,0.1,0,5,100,0.982994101630436,13.1778153950345,0.501455624188453,26.1244707765242,20.3819044112545,17
15,12,0.9,0.1,0,5,100,0.962723502035017,15.7778099243064,0.491573730135369,29.4697457566084,22.7433227767632,20
0,15,0.9,0.1,0,5,100,0.628473453414125,0,0.540218680060389,13.0032802009058,13.1032802009058,5
1,15,0.9,0.1,0,5,100,0.472894995649557,0,0.52756536236114,13.285915073056,13.9134804354171,6
3,15,0.9,0.1,0,5,100,0.340545843977831,0,0.525666193872749,14.207994326473,15.8849929080912,8
7,15,0.9,0.1,0,5,100,0.18477143624601,0,0.530448123029811,16.1435849842385,19.9567218454472,12
12,15,0.9,0.1,0,5,100,0.0478971024024083,0,0.562087381418663,18.586262144256,25.43131072128,17
15,15,0.9,0.1,0,5,100,0.97428684434846,16.111113996022,0.49718983696361,31.1777797972154,24.2356247552498,20
0,1,1,0.1,0,5,100,0.309790506124229,0,0.630961411086517,5.53096141108652,5.63096141108652,5
1,1,1,0.1,0,5,100,0.97029702970297,29.9999316946112,0.515,7.96,6,6
3,1,1,0.1,0,5,100,0,0,0,7.9,8,8
7,1,1,0.1,0,5,100,0,0,0,11.9,12,12
12,1,1,0.1,0,5,100,0,0,0,16.9,17,17
15,1,1,0.1,0,5,100,0,0,0,19.9,20,20
0,3,1,0.1,0,5,100,0.463937848719771,0,0.576832874381967,6.6304986231459,6.7304986231459,5
1,3,1,0.1,0,5,100,0.206146605885829,0,0.576485809132454,7.05297161826491,7.72945742739736,6
3,3,1,0.1,0,5,100,0,0,0,7.9,8,8
7,3,1,0.1,0,5,100,0,0,0,11.9,12,12
